Tipo Vehiculo, Color de Vehiculo, Direccion de movimiento, Velocidad vehiculo(km/h),Hora, Minuto
person,white,down,29.885917239718967,18,11
person,white,down,34.944303300645615,18,11
car,blue,down,52.38888846503364,18,11
car,green,down,29.211756388346352,18,11
